DT_CARREGAMENTO,NOME_EMBARCADOR,VOLUME_VIAGENS
2018-10-09,LDC Brasil,19
2018-10-10,LDC Brasil,191
2018-10-11,LDC Brasil,189
2018-10-12,LDC Brasil,84
2018-10-13,LDC Brasil,51
2018-10-14,LDC Brasil,34
2018-10-15,LDC Brasil,125
2018-10-16,LDC Brasil,145
2018-10-17,LDC Brasil,183
2018-10-18,LDC Brasil,170
2018-10-19,LDC Brasil,163
2018-10-20,LDC Brasil,88
2018-10-21,LDC Brasil,15
2018-10-22,LDC Brasil,111
2018-10-23,LDC Brasil,145
2018-10-24,LDC Brasil,108
2018-10-25,LDC Brasil,98
2018-10-26,LDC Brasil,62
2018-10-27,LDC Brasil,24
2018-10-28,LDC Brasil,1
2018-10-29,LDC Brasil,38
2018-10-30,LDC Brasil,150
2018-10-31,LDC Brasil,186
2018-11-01,LDC Brasil,220
2018-11-02,LDC Brasil,96
2018-11-03,LDC Brasil,100
2018-11-04,LDC Brasil,13
2018-11-05,LDC Brasil,233
2018-11-06,LDC Brasil,245
2018-11-07,LDC Brasil,116
2018-11-08,LDC Brasil,112
2018-11-09,LDC Brasil,152
2018-11-10,LDC Brasil,50
2018-11-11,LDC Brasil,20
2018-11-12,LDC Brasil,272
2018-11-13,LDC Brasil,323
2018-11-14,LDC Brasil,279
2018-11-15,LDC Brasil,92
2018-11-16,LDC Brasil,231
2018-11-17,LDC Brasil,138
2018-11-18,LDC Brasil,94
2018-11-19,LDC Brasil,312
2018-11-20,LDC Brasil,284
2018-11-21,LDC Brasil,394
2018-11-22,LDC Brasil,378
2018-11-22,Publicacao Nuvem,2
2018-11-23,LDC Brasil,472
2018-11-24,LDC Brasil,181
2018-11-25,LDC Brasil,72
2018-11-26,LDC Brasil,451
2018-11-27,LDC Brasil,512
2018-11-28,LDC Brasil,440
2018-11-29,LDC Brasil,490
2018-11-30,LDC Brasil,547
2018-12-01,LDC Brasil,239
2018-12-02,LDC Brasil,107
2018-12-03,LDC Brasil,369
2018-12-04,LDC Brasil,528
2018-12-05,LDC Brasil,439
2018-12-06,LDC Brasil,269
2018-12-07,LDC Brasil,337
2018-12-08,LDC Brasil,187
2018-12-09,LDC Brasil,97
2018-12-10,LDC Brasil,252
2018-12-11,LDC Brasil,297
2018-12-12,LDC Brasil,332
2018-12-13,LDC Brasil,315
2018-12-14,LDC Brasil,224
2018-12-15,LDC Brasil,216
2018-12-16,LDC Brasil,150
2018-12-17,LDC Brasil,162
2018-12-18,LDC Brasil,257
2018-12-19,LDC Brasil,276
2018-12-20,LDC Brasil,289
2018-12-21,LDC Brasil,279
2018-12-22,LDC Brasil,182
2018-12-23,LDC Brasil,147
2018-12-24,LDC Brasil,97
2018-12-25,LDC Brasil,4
2018-12-26,LDC Brasil,123
2018-12-27,LDC Brasil,400
2018-12-28,LDC Brasil,259
2018-12-29,LDC Brasil,187
2018-12-30,LDC Brasil,112
2018-12-31,LDC Brasil,84
2019-01-02,LDC Brasil,1144
2019-01-03,LDC Brasil,254
2019-01-04,LDC Brasil,276
2019-01-05,LDC Brasil,195
2019-01-06,LDC Brasil,135
2019-01-07,LDC Brasil,246
2019-01-08,LDC Brasil,342
2019-01-09,LDC Brasil,443
2019-01-10,LDC Brasil,426
2019-01-11,LDC Brasil,634
2019-01-12,LDC Brasil,482
2019-01-13,LDC Brasil,367
2019-01-14,LDC Brasil,707
2019-01-15,LDC Brasil,722
2019-01-16,LDC Brasil,781
2019-01-17,LDC Brasil,863
2019-01-18,LDC Brasil,891
2019-01-19,LDC Brasil,744
2019-01-20,LDC Brasil,633
2019-01-21,LDC Brasil,1059
2019-01-22,LDC Brasil,1086
2019-01-23,LDC Brasil,1154
2019-01-24,LDC Brasil,939
2019-01-25,LDC Brasil,1062
2019-01-26,LDC Brasil,873
2019-01-27,LDC Brasil,367
2019-01-28,LDC Brasil,808
2019-01-29,LDC Brasil,1296
2019-01-30,LDC Brasil,1383
2019-01-31,LDC Brasil,2912
2019-02-01,LDC Brasil,2441
2019-02-02,LDC Brasil,1295
2019-02-03,LDC Brasil,1075
2019-02-04,LDC Brasil,1114
2019-02-05,LDC Brasil,1318
2019-02-06,LDC Brasil,1357
2019-02-07,LDC Brasil,1432
2019-02-08,LDC Brasil,1406
2019-02-09,LDC Brasil,1333
2019-02-10,LDC Brasil,757
2019-02-11,LDC Brasil,870
2019-02-12,LDC Brasil,1118
2019-02-13,LDC Brasil,979
2019-02-14,LDC Brasil,1485
2019-02-15,LDC Brasil,2030
2019-02-16,LDC Brasil,993
2019-02-17,LDC Brasil,616
2019-02-18,LDC Brasil,1116
2019-02-19,LDC Brasil,1243
2019-02-20,LDC Brasil,991
2019-02-21,LDC Brasil,984
2019-02-22,LDC Brasil,1040
2019-02-23,LDC Brasil,982
2019-02-24,LDC Brasil,634
2019-02-25,LDC Brasil,1007
2019-02-26,LDC Brasil,1024
2019-02-27,LDC Brasil,877
2019-02-28,LDC Brasil,901
2019-03-01,LDC Brasil,933
2019-03-02,LDC Brasil,658
2019-03-03,LDC Brasil,415
2019-03-04,LDC Brasil,716
2019-03-05,LDC Brasil,652
2019-03-06,LDC Brasil,754
2019-03-07,LDC Brasil,802
