DT_CARREGAMENTO,NOME_EMBARCADOR,VOLUME_VIAGENS
2018-10-09,LDC Brasil,19
2018-10-10,LDC Brasil,191
2018-10-11,LDC Brasil,189
2018-10-12,LDC Brasil,84
2018-10-13,LDC Brasil,51
2018-10-14,LDC Brasil,34
2018-10-15,LDC Brasil,125
2018-10-16,LDC Brasil,145
2018-10-17,LDC Brasil,183
2018-10-18,LDC Brasil,170
2018-10-19,LDC Brasil,163
2018-10-20,LDC Brasil,88
2018-10-21,LDC Brasil,15
2018-10-22,LDC Brasil,111
2018-10-23,LDC Brasil,146
2018-10-24,LDC Brasil,108
2018-10-25,LDC Brasil,98
2018-10-26,LDC Brasil,62
2018-10-27,LDC Brasil,24
2018-10-28,LDC Brasil,1
2018-10-29,LDC Brasil,38
2018-10-30,LDC Brasil,151
2018-10-31,LDC Brasil,193
2018-11-01,LDC Brasil,228
2018-11-02,LDC Brasil,104
2018-11-03,LDC Brasil,111
2018-11-04,LDC Brasil,19
2018-11-05,LDC Brasil,239
2018-11-06,LDC Brasil,252
2018-11-07,LDC Brasil,120
2018-11-08,LDC Brasil,121
2018-11-09,LDC Brasil,159
2018-11-10,LDC Brasil,59
2018-11-11,LDC Brasil,25
2018-11-12,LDC Brasil,319
2018-11-13,LDC Brasil,412
2018-11-14,LDC Brasil,452
2018-11-15,LDC Brasil,214
2018-11-16,LDC Brasil,358
2018-11-17,LDC Brasil,211
2018-11-18,LDC Brasil,111
2018-11-19,LDC Brasil,390
2018-11-20,LDC Brasil,330
2018-11-21,LDC Brasil,477
2018-11-22,LDC Brasil,463
2018-11-22,Publicacao Nuvem,2
2018-11-23,LDC Brasil,594
2018-11-24,LDC Brasil,216
2018-11-25,LDC Brasil,119
2018-11-26,LDC Brasil,541
2018-11-27,LDC Brasil,599
2018-11-28,LDC Brasil,545
2018-11-29,LDC Brasil,1065
2018-11-30,LDC Brasil,1221
2018-12-01,LDC Brasil,298
2018-12-02,LDC Brasil,113
2018-12-03,LDC Brasil,464
2018-12-04,LDC Brasil,1394
2018-12-05,LDC Brasil,442
2018-12-06,LDC Brasil,343
2018-12-07,LDC Brasil,379
2018-12-08,LDC Brasil,261
2018-12-09,LDC Brasil,275
2018-12-10,LDC Brasil,331
2018-12-11,LDC Brasil,399
2018-12-12,LDC Brasil,508
2018-12-13,LDC Brasil,389
2018-12-14,LDC Brasil,329
2018-12-15,LDC Brasil,251
2018-12-16,LDC Brasil,197
2018-12-17,LDC Brasil,188
2018-12-18,LDC Brasil,282
2018-12-19,LDC Brasil,293
2018-12-20,LDC Brasil,343
2018-12-21,LDC Brasil,297
2018-12-22,LDC Brasil,228
2018-12-23,LDC Brasil,153
2018-12-24,LDC Brasil,105
2018-12-25,LDC Brasil,5
2018-12-26,LDC Brasil,140
2018-12-27,LDC Brasil,544
2018-12-28,LDC Brasil,571
2018-12-29,LDC Brasil,210
2018-12-30,LDC Brasil,115
2018-12-31,LDC Brasil,663
2019-01-02,LDC Brasil,1600
2019-01-03,LDC Brasil,264
2019-01-04,LDC Brasil,308
2019-01-05,LDC Brasil,202
2019-01-06,LDC Brasil,143
2019-01-07,LDC Brasil,259
2019-01-08,LDC Brasil,358
2019-01-09,LDC Brasil,467
2019-01-10,LDC Brasil,442
2019-01-11,LDC Brasil,645
2019-01-12,LDC Brasil,488
2019-01-13,LDC Brasil,371
2019-01-14,LDC Brasil,730
2019-01-15,LDC Brasil,744
2019-01-16,LDC Brasil,864
2019-01-17,LDC Brasil,889
2019-01-18,LDC Brasil,909
2019-01-19,LDC Brasil,751
2019-01-20,LDC Brasil,638
2019-01-21,LDC Brasil,1081
2019-01-22,LDC Brasil,1105
2019-01-23,LDC Brasil,1166
2019-01-24,LDC Brasil,954
2019-01-25,LDC Brasil,1092
2019-01-26,LDC Brasil,914
2019-01-27,LDC Brasil,405
2019-01-28,LDC Brasil,848
2019-01-29,LDC Brasil,1346
2019-01-30,LDC Brasil,1427
2019-01-31,LDC Brasil,4610
2019-02-01,LDC Brasil,2503
2019-02-02,LDC Brasil,1353
2019-02-03,LDC Brasil,1116
2019-02-04,LDC Brasil,1152
2019-02-05,LDC Brasil,1384
2019-02-06,LDC Brasil,1433
2019-02-07,LDC Brasil,1503
2019-02-08,LDC Brasil,1454
2019-02-09,LDC Brasil,1373
2019-02-10,LDC Brasil,782
2019-02-11,LDC Brasil,914
2019-02-12,LDC Brasil,1130
2019-02-13,LDC Brasil,992
2019-02-14,LDC Brasil,1504
2019-02-15,LDC Brasil,2576
2019-02-16,LDC Brasil,1008
2019-02-17,LDC Brasil,623
2019-02-18,LDC Brasil,1141
2019-02-19,LDC Brasil,1292
2019-02-20,LDC Brasil,1028
2019-02-21,LDC Brasil,1053
2019-02-22,LDC Brasil,1100
2019-02-23,LDC Brasil,1068
2019-02-24,LDC Brasil,672
2019-02-25,LDC Brasil,1054
2019-02-26,LDC Brasil,1072
2019-02-27,LDC Brasil,947
2019-02-28,LDC Brasil,952
2019-03-01,LDC Brasil,980
2019-03-02,LDC Brasil,712
2019-03-03,LDC Brasil,457
2019-03-04,LDC Brasil,800
2019-03-05,LDC Brasil,715
2019-03-06,LDC Brasil,844
2019-03-07,LDC Brasil,890
